Time,Activity
8:30 - 9:00 am, Drop-off & Greeting
9:00 - 9:20am, Montessori Work Cycle (teacher-guided/independent work)
9:20 - 9:30 am, Transition Circle & Handwashing (prepare for snack)
9:30 - 9:50 am, Snack Time
9:50-10:10 am, Movement Activity (yoga/dance/action songs)
10:10-10:45 am, Montessori Work Cycle (continued)
10:45-11:00 am, Circle Time (song/greetings/calendar)
11:00-11:45 am, Outdoor play (free play)
11:45 - 12:00 pm, Lunch Prep & handwashing
12:00 - 12:45pm, Lunch Time
12:30 - 1:15 pm, Outdoor Play / Rest Prep
1:30 - 2:50 pm, Rest Time
3:00 - 3:30 pm, Teacher Guided Work/Activity
3:30 - 3:45 pm, Snack Prep & Handwashing
3:45 - 4:00 pm, Afternoon Snack Time
4:00 - 4:20 pm, Story Time/Circle Time
4:20 - 5:00 pm, Outdoor Play
5:00 - 5:30 pm, Pick-Up Time / Teacher Guided
