Time,Activity
8:30-10:45 am, Snack / Free-choice Montessori Time
10:45-11:00 am, Circle Time
11:00-11:50 am, Outdoor Play
11:50-12:00 pm, Lunch Preparation
12:00-12:30 pm, Lunch Time
12:30-12:45 pm, Cleanup
12:45-1:30 pm, Outdoor Play
1:30-1:45 pm, Transition to Nap/Quiet Time
1:45-2:45 pm, Nap Time / Quiet Work / Reading
2:45-3:00 pm, Wake up Time
3:00-3:15 pm, Afternoon Snack
3:15-4:00 pm, Spanish / Japanese / Mandarin / Music & Dance
4:00-4:15 pm, Circle / Book Reading Time
4:15-4:30 pm, Yoga / Movement
4:30-5:30 pm, Outdoor Play / Parent Pickup
